iter	Passed	Remaining
0	178	89255
1	180	44877
2	181	30069
3	182	22664
4	184	18255
5	185	15299
6	187	13178
7	188	11592
8	189	10364
9	191	9378
10	192	8576
11	194	7904
12	196	7352
13	197	6865
14	199	6443
15	200	6070
16	201	5737
17	203	5449
18	205	5195
19	206	4966
20	208	4759
21	210	4568
22	211	4393
23	213	4230
24	214	4081
25	216	3945
26	218	3823
27	219	3707
28	222	3606
29	222	3493
30	224	3401
31	226	3312
32	228	3235
33	231	3166
34	232	3091
35	234	3023
36	236	2958
37	238	2899
38	240	2846
39	242	2792
40	244	2738
41	246	2685
42	248	2635
43	249	2589
44	251	2544
45	252	2495
46	254	2454
47	257	2420
48	259	2385
49	261	2351
50	262	2314
51	264	2280
52	266	2247
53	268	2216
54	270	2189
55	272	2158
56	274	2130
57	275	2102
58	278	2079
59	280	2055
60	282	2035
61	284	2010
62	286	1985
63	287	1960
64	289	1938
65	292	1920
66	293	1898
67	295	1879
68	297	1857
69	298	1836
70	300	1816
71	302	1796
72	303	1776
73	305	1757
74	306	1738
75	308	1720
76	310	1705
77	312	1690
78	314	1676
79	316	1661
80	318	1645
81	319	1629
82	321	1613
83	322	1598
84	324	1584
85	326	1571
86	328	1557
87	329	1543
88	331	1530
89	333	1517
90	334	1504
91	336	1491
92	337	1478
93	338	1464
94	341	1453
95	343	1444
96	345	1433
97	346	1421
98	348	1410
99	349	1399
100	352	1392
101	354	1384
102	356	1374
103	358	1364
104	359	1354
105	361	1344
106	363	1336
107	365	1327
108	367	1317
109	369	1308
110	370	1299
111	372	1290
112	374	1281
113	375	1272
114	377	1264
115	379	1256
116	380	1247
117	382	1239
118	384	1231
119	386	1225
120	388	1217
121	390	1208
122	391	1201
123	393	1193
124	395	1185
125	396	1177
126	398	1170
127	400	1163
128	401	1155
129	403	1148
130	405	1141
131	406	1134
132	408	1127
133	410	1120
134	412	1114
135	413	1107
136	415	1101
137	417	1094
138	418	1088
139	420	1081
140	422	1074
141	423	1068
142	425	1061
143	426	1054
144	428	1048
145	429	1041
146	431	1035
147	432	1028
148	434	1022
149	435	1016
150	437	1010
151	438	1004
152	440	998
153	441	992
154	443	986
155	444	980
156	445	974
157	447	968
158	448	962
159	450	957
160	451	951
161	453	946
162	455	940
163	456	935
164	457	929
165	459	924
166	460	918
167	461	912
168	463	907
169	464	902
170	466	897
171	467	892
172	469	886
173	470	881
174	472	876
175	473	871
176	475	866
177	475	860
178	477	855
179	478	850
180	479	845
181	481	840
182	482	836
183	484	831
184	485	826
185	486	822
186	488	817
187	489	812
188	490	807
189	492	803
190	493	798
191	495	794
192	496	790
193	498	785
194	499	781
195	500	777
196	502	772
197	503	768
198	504	763
199	506	759
200	507	755
201	509	751
202	510	747
203	512	743
204	513	738
205	514	734
206	516	730
207	518	727
208	519	723
209	521	719
210	522	715
211	524	712
212	525	708
213	527	704
214	528	701
215	530	697
216	531	693
217	533	689
218	534	685
219	535	682
220	537	678
221	538	674
222	540	671
223	541	667
224	543	663
225	544	660
226	546	656
227	547	653
228	549	649
229	550	646
230	552	643
231	553	639
232	555	636
233	556	633
234	558	629
235	559	626
236	561	623
237	563	619
238	564	616
239	565	613
240	567	609
241	568	606
242	569	602
243	571	599
244	572	596
245	574	592
246	575	589
247	576	586
248	578	582
249	579	579
250	581	576
251	582	573
252	584	570
253	585	567
254	587	563
255	588	560
256	589	557
257	591	554
258	592	551
259	593	548
260	595	545
261	596	542
262	597	538
263	599	535
264	600	532
265	602	529
266	603	526
267	605	523
268	606	520
269	608	517
270	609	514
271	610	511
272	612	509
273	613	506
274	615	503
275	616	500
276	617	497
277	619	494
278	620	491
279	622	488
280	623	485
281	624	483
282	626	480
283	627	477
284	629	474
285	630	472
286	632	469
287	633	466
288	634	463
289	636	460
290	637	458
291	639	455
292	640	452
293	641	449
294	643	446
295	644	444
296	645	441
297	647	438
298	648	436
299	650	433
300	651	430
301	653	428
302	654	425
303	655	422
304	657	420
305	658	417
306	659	414
307	661	412
308	662	409
309	664	407
310	665	404
311	666	401
312	668	399
313	669	396
314	670	394
315	672	391
316	673	388
317	675	386
318	676	383
319	677	381
320	679	378
321	680	376
322	681	373
323	683	371
324	684	368
325	686	366
326	687	363
327	688	361
328	690	358
329	691	356
330	693	353
331	694	351
332	695	349
333	697	346
334	698	344
335	700	341
336	701	339
337	703	336
338	704	334
339	705	332
340	707	329
341	708	327
342	710	325
343	711	322
344	712	320
345	714	317
346	715	315
347	716	313
348	718	310
349	719	308
350	720	306
351	722	303
352	723	301
353	725	299
354	726	296
355	727	294
356	729	292
357	730	289
358	732	287
359	733	285
360	735	283
361	736	280
362	738	278
363	739	276
364	740	274
365	742	271
366	743	269
367	744	267
368	746	265
369	747	262
370	749	260
371	750	258
372	751	256
373	753	253
374	754	251
375	755	249
376	757	247
377	758	244
378	759	242
379	761	240
380	762	238
381	764	236
382	765	233
383	766	231
384	768	229
385	769	227
386	770	225
387	772	222
388	773	220
389	774	218
390	776	216
391	777	214
392	779	212
393	780	209
394	781	207
395	783	205
396	784	203
397	786	201
398	787	199
399	789	197
400	790	195
401	791	193
402	793	190
403	794	188
404	796	186
405	797	184
406	798	182
407	800	180
408	801	178
409	802	176
410	804	174
411	805	172
412	807	170
413	808	167
414	810	165
415	811	163
416	813	161
417	814	159
418	815	157
419	817	155
420	818	153
421	820	151
422	821	149
423	822	147
424	824	145
425	825	143
426	826	141
427	828	139
428	829	137
429	831	135
430	832	133
431	834	131
432	835	129
433	837	127
434	838	125
435	840	123
436	841	121
437	843	119
438	844	117
439	845	115
440	847	113
441	848	111
442	850	109
443	851	107
444	853	105
445	855	103
446	856	101
447	858	99
448	859	97
449	861	95
450	862	93
451	863	91
452	865	89
453	866	87
454	867	85
455	869	83
456	870	81
457	872	79
458	873	78
459	875	76
460	876	74
461	878	72
462	879	70
463	881	68
464	882	66
465	884	64
466	885	62
467	886	60
468	888	58
469	889	56
470	890	54
471	892	52
472	893	51
473	895	49
474	896	47
475	898	45
476	899	43
477	900	41
478	902	39
479	903	37
480	904	35
481	906	33
482	907	31
483	909	30
484	910	28
485	911	26
486	913	24
487	915	22
488	916	20
489	918	18
490	920	16
491	921	14
492	923	13
493	924	11
494	926	9
495	928	7
496	930	5
497	931	3
498	933	1
499	934	0
